"","Velo","SpinRate","HorzBreak","InducedVertBreak","Predicted_Hits"
"1",94.72,2375,3.1,18.15,0
"2",95.25,2033,11.26,14.5,0
"3",92.61,2389,11,21.93,0
"4",94.94,2360,6.84,18.11,1
"5",97.42,2214,16.7,13.38,0
"6",95.98,2495,11.25,17.12,0
"7",94.88,1998,15.13,15.22,0
"8",92.73,2049,1.55,18.47,0
"9",92.39,1955,18.15,7.25,0
"10",95.77,1976,10.04,14.56,0
"11",93.27,2076,11.45,11.5,0
"12",91.95,2465,9.12,21,0
"13",92.24,2391,0.56,13.23,0
"14",93.1,2130,3.97,16.75,0
"15",95.38,2262,7.44,17.64,1
"16",94.54,2116,13.3,8.16,1
"17",94.22,2325,8.85,17.63,0
"18",95.14,2451,5.68,18.71,0
"19",91.91,2073,13.77,14.65,1
"20",94.42,2232,8.61,19.04,0
"21",92.06,2184,-3.89,4.09,1
"22",94.99,2317,6.05,13.93,0
"23",94.8,3009,10.06,17.07,0
"24",91.25,2077,13.02,13.67,0
"25",97.6,2080,16.79,-0.58,1
"26",95.78,2314,13.22,16.79,0
"27",95.58,2253,5.07,17.3,0
"28",92.63,2334,1.44,17.63,0
"29",89.9,2191,17.65,9.55,1
"30",96.23,2469,6.28,20.41,0
"31",90.67,2447,12.69,14.4,0
"32",94.1,2261,11.57,20.01,0
"33",94.6,2014,2.89,14.19,1
"34",93.57,2291,14.04,14.78,0
"35",93.74,2200,8.27,17.94,0
"36",94.85,2660,6.82,20.72,0
"37",88.41,1876,14.75,13.56,1
"38",96.76,2353,8.91,17.73,0
"39",97.99,2077,14.73,15.91,0
"40",89.4,2169,17.83,8.61,0
"41",95.17,2305,4.59,20.69,0
"42",90.32,2068,13.56,7.73,1
"43",95.36,2191,12.29,9,0
"44",92.29,2591,-0.02,15.27,0
"45",91.98,2273,16.16,8.9,1
"46",95.57,2200,15.33,11.87,1
"47",93.33,2174,9.79,15.34,0
"48",92.03,2231,4.35,12.68,0
"49",95.18,2219,6.12,19.91,0
"50",92.89,2141,9.56,14.23,0
"51",97.34,2383,5.9,19.13,0
